id,guia_id,guia_titulo,aplica_a,paso_orden,paso_titulo,paso_detalle,paso_que_llevar,paso_donde,paso_pago,paso_documento,paso_verificacion,paso_aviso,fuente_id
GUIA-TRANSITO-PRESENTAR-P1,GUIA-TRANSITO-PRESENTAR,Cómo resolverlo,"Ya tienes la orden del juzgado, pero falta presentar la solicitud.",1,Ten a la mano el oficio original,El requisito principal es el oficio original de desbloqueo emitido por el juzgado. Sin ese documento no se puede continuar.,Oficio original de desbloqueo | Tu DPI,,,,,,F-01
GUIA-TRANSITO-PRESENTAR-P2,GUIA-TRANSITO-PRESENTAR,Cómo resolverlo,"Ya tienes la orden del juzgado, pero falta presentar la solicitud.",2,Entra a los trámites en línea del Departamento de Tránsito,"Hay que crear un usuario adjuntando el DPI y confirmar la cuenta por correo electrónico. Si no tienes correo o no puedes hacerlo en línea, el trámite también se puede presentar de forma presencial.",Tu DPI escaneado o fotografiado | Un correo electrónico al que tengas acceso,transito,,,,,F-03
GUIA-TRANSITO-PRESENTAR-P3,GUIA-TRANSITO-PRESENTAR,Cómo resolverlo,"Ya tienes la orden del juzgado, pero falta presentar la solicitud.",3,Crea la solicitud y adjunta los documentos,"Selecciona una nueva solicitud, llena el formulario y adjunta el oficio de desbloqueo.",Oficio original de desbloqueo,transito,Q 0 según el Catálogo Nacional de Trámites.,,,,F-01
GUIA-TRANSITO-PRESENTAR-P4,GUIA-TRANSITO-PRESENTAR,Cómo resolverlo,"Ya tienes la orden del juzgado, pero falta presentar la solicitud.",4,Guarda el número de trámite,Al enviar la solicitud recibirás un número de trámite. Anótalo: es con lo que vas a poder consultar el avance.,,,,Número de trámite.,,,
GUIA-TRANSITO-PRESENTAR-P5,GUIA-TRANSITO-PRESENTAR,Cómo resolverlo,"Ya tienes la orden del juzgado, pero falta presentar la solicitud.",5,Confirma que el bloqueo se levantó,Revisa la bitácora de tu trámite. El Catálogo Nacional de Trámites indica un tiempo de respuesta de 5 días.,El número de trámite,transito,,Resolución del Departamento de Tránsito.,El bloqueo está levantado únicamente cuando el Departamento de Tránsito lo resuelve.,,F-01
GUIA-TRANSITO-ESPERA-P1,GUIA-TRANSITO-ESPERA,Cómo resolverlo,Ya presentaste la solicitud y está en revisión.,1,Ahora le toca al Departamento de Tránsito,Tu solicitud está presentada. En este momento no tienes que hacer ningún trámite nuevo.,,,,,,,
GUIA-TRANSITO-ESPERA-P2,GUIA-TRANSITO-ESPERA,Cómo resolverlo,Ya presentaste la solicitud y está en revisión.,2,Revisa la bitácora de tu trámite,En la plataforma de trámites en línea aparece el avance de tu solicitud. Consúltala con tu número de trámite.,El número de trámite,transito,,,,,F-03
GUIA-TRANSITO-ESPERA-P3,GUIA-TRANSITO-ESPERA,Cómo resolverlo,Ya presentaste la solicitud y está en revisión.,3,"Si te hacen una observación, corrígela","Si la solicitud necesita una corrección, te lo indicarán. En ese momento el siguiente paso vuelve a ser tuyo: corrige lo señalado y vuelve a presentar. Lo que ya hiciste no se pierde.",El documento o dato que te pidan corregir,transito,,,,,
GUIA-TRANSITO-ESPERA-P4,GUIA-TRANSITO-ESPERA,Cómo resolverlo,Ya presentaste la solicitud y está en revisión.,4,Confirma que el bloqueo se levantó,El caso se cierra cuando aparece la resolución. El Catálogo Nacional de Trámites indica un tiempo de respuesta de 5 días.,El número de trámite,transito,,Resolución del Departamento de Tránsito.,El bloqueo está levantado únicamente cuando el Departamento de Tránsito lo resuelve.,,F-01
GUIA-LEVANTADO-P1,GUIA-LEVANTADO,Qué hacer ahora,Casos ya resueltos.,1,Guarda la resolución,Conserva la resolución del Departamento de Tránsito. Es tu respaldo de que este bloqueo fue levantado.,,,,Resolución del Departamento de Tránsito.,,,
GUIA-LEVANTADO-P2,GUIA-LEVANTADO,Qué hacer ahora,Casos ya resueltos.,2,Revisa si te queda algún otro bloqueo,Que este caso esté resuelto no significa que no existan otros. Revisa la pantalla de tu licencia para ver si te queda alguno activo.,,,,,,,
